,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,01591,FP13,,,,,,,,14.00 CS,14.00 CS,14.00 CS,14.00 CS,3.00 CS,59.00 CS
Total Inventory Qty,01593,FM02,,,,,,,,220.00 CS,,,,,220.00 CS
Total Inventory Qty,01593,FP07,"7,543.00 CS","7,543.00 CS","7,543.00 CS","7,543.00 CS","7,542.00 CS","7,438.00 CS","4,391.00 CS","1,095.00 CS","3,463.00 CS","2,746.00 CS","9,420.00 CS","9,359.00 CS","75,626.00 CS"
Total Inventory Qty,01594,FM02,181.00 CS,,,,,,,,,,,,181.00 CS
Total Inventory Qty,01594,FP07,"15,777.00 CS","15,954.00 CS","15,954.00 CS","15,954.00 CS","15,895.00 CS","13,249.00 CS","2,464.00 CS","1,828.00 CS","4,211.00 CS","3,159.00 CS","3,154.00 CS","3,139.00 CS","1,10,738.00 CS"
Total Inventory Qty,01595,FM02,,,,,7.00 CS,,,,11.00 CS,,,,18.00 CS
Total Inventory Qty,01595,FP07,383.00 CS,383.00 CS,383.00 CS,477.00 CS,523.00 CS,543.00 CS,503.00 CS,134.00 CS,33.00 CS,33.00 CS,37.00 CS,37.00 CS,"3,469.00 CS"
Total Inventory Qty,01595,FP13,,,,,,,5.00 CS,12.00 CS,2.00 CS,1.00 CS,1.00 CS,3.00 CS,24.00 CS
Total Inventory Qty,01597,FP07,"3,768.00 CS","3,762.00 CS","3,761.00 CS","3,761.00 CS","3,761.00 CS","3,311.00 CS","2,343.00 CS",432.00 CS,"1,945.00 CS","1,940.00 CS","1,940.00 CS","1,895.00 CS","32,619.00 CS"
Total Inventory Qty,01597,FP13,,,,,,,,5.00 CS,5.00 CS,5.00 CS,5.00 CS,5.00 CS,25.00 CS
Total Inventory Qty,01598,FP07,"1,152.00 CS","1,152.00 CS","1,151.00 CS","1,151.00 CS","1,151.00 CS","1,151.00 CS",671.00 CS,671.00 CS,13.00 CS,13.00 CS,13.00 CS,13.00 CS,"8,302.00 CS"
Total Inventory Qty,01599,FP07,367.00 CS,659.00 CS,869.00 CS,506.00 CS,393.00 CS,663.00 CS,636.00 CS,724.00 CS,654.00 CS,637.00 CS,921.00 CS,998.00 CS,"8,027.00 CS"
Total Inventory Qty,01599,FP13,"1,331.00 CS",820.00 CS,226.00 CS,626.00 CS,851.00 CS,355.00 CS,213.00 CS,605.00 CS,551.00 CS,543.00 CS,795.00 CS,"1,266.00 CS","8,182.00 CS"
Total Inventory Qty,01600,FM02,,70.00 CS,,,,,,,,,,,70.00 CS
Total Inventory Qty,01600,FP07,373.00 CS,"2,505.00 CS","2,171.00 CS","1,658.00 CS","4,199.00 CS","3,398.00 CS","2,721.00 CS",988.00 CS,988.00 CS,"2,138.00 CS","1,138.00 CS","2,853.00 CS","25,130.00 CS"
Total Inventory Qty,01601,FP07,44.00 CS,44.00 CS,44.00 CS,44.00 CS,44.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,228.00 CS
Total Inventory Qty,01601,FP13,255.00 CS,163.00 CS,161.00 CS,153.00 CS,8.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,838.00 CS
Total Inventory Qty,01602,FP13,102.00 CS,102.00 CS,102.00 CS,,,,,,,,,,306.00 CS
Total Inventory Qty,01603,FP07,67.00 CS,167.00 CS,18.00 CS,31.00 CS,147.00 CS,101.00 CS,84.00 CS,57.00 CS,40.00 CS,64.00 CS,42.00 CS,198.00 CS,"1,016.00 CS"
Total Inventory Qty,01603,FP13,34.00 CS,38.00 CS,38.00 CS,132.00 CS,,,,48.00 CS,36.00 CS,,,12.00 CS,338.00 CS
Total Inventory Qty,01604,FP07,274.00 CS,151.00 CS,90.00 CS,219.00 CS,214.00 CS,162.00 CS,155.00 CS,61.00 CS,51.00 CS,51.00 CS,51.00 CS,51.00 CS,"1,530.00 CS"
Total Inventory Qty,01604,FP13,206.00 CS,277.00 CS,726.00 CS,148.00 CS,120.00 CS,119.00 CS,1.00 CS,33.00 CS,32.00 CS,32.00 CS,32.00 CS,19.00 CS,"1,745.00 CS"
Total Inventory Qty,01605,FP03,2.33 CS,2.33 CS,2.33 CS,,,,,,,,,,7.00 CS
Total Inventory Qty,01605,FP07,"1,750.00 CS","2,797.00 CS","3,332.00 CS","5,818.00 CS","5,847.00 CS","3,649.00 CS","4,552.00 CS","3,486.00 CS","5,461.00 CS","5,114.00 CS","5,554.00 CS","5,554.00 CS","52,914.00 CS"
Total Inventory Qty,01605,FP13,"8,184.00 CS","3,795.00 CS","22,200.00 CS","16,006.00 CS","28,463.00 CS","26,403.00 CS","22,809.00 CS","20,388.00 CS","16,296.00 CS","13,713.00 CS","12,015.00 CS","11,753.00 CS","2,02,025.00 CS"
Total Inventory Qty,01607,FP03,,1.00 CS,1.00 CS,2.00 CS,1.00 CS,,,,,,,,5.00 CS
Total Inventory Qty,01607,FP07,205.00 CS,120.00 CS,389.00 CS,815.00 CS,757.00 CS,807.00 CS,757.00 CS,801.00 CS,801.00 CS,,,10.00 CS,"5,462.00 CS"
Total Inventory Qty,01607,FP13,404.00 CS,747.00 CS,"1,144.00 CS",378.00 CS,835.00 CS,441.00 CS,312.00 CS,637.00 CS,633.00 CS,632.00 CS,632.00 CS,632.00 CS,"7,427.00 CS"
Total Inventory Qty,01608,FP13,3.00 CS,3.00 CS,3.00 CS,,,,,,,,,,9.00 CS
Total Inventory Qty,01609,FP07,11.00 CS,11.00 CS,11.00 CS,11.00 CS,11.00 CS,11.00 CS,,,,,,,66.00 CS
Total Inventory Qty,01611,FP07,,,,,,,,"5,340.00 CS","12,930.00 CS","13,335.00 CS","6,369.00 CS",12.00 CS,"37,986.00 CS"
Total Inventory Qty,01611,FP13,196.00 CS,196.00 CS,194.00 CS,,,,,,,,,,586.00 CS
Total Inventory Qty,01613,FP03,2.08 CS,2.08 CS,2.08 CS,0.67 CS,0.67 CS,0.67 CS,2.08 CS,2.08 CS,2.08 CS,1.00 CS,1.00 CS,1.00 CS,17.50 CS
Total Inventory Qty,01613,FP05,2.00 CS,2.00 CS,,,,,,,,,,,4.00 CS
Total Inventory Qty,01613,FP07,6.00 CS,6.00 CS,6.00 CS,6.00 CS,11.00 CS,,,,,,,,35.00 CS
Total Inventory Qty,01613,FP13,157.00 CS,157.00 CS,157.00 CS,,,5.00 CS,,,,,,,476.00 CS
Total Inventory Qty,01614,FP03,1.42 CS,1.42 CS,1.42 CS,0.42 CS,0.42 CS,0.42 CS,1.75 CS,1.75 CS,1.75 CS,,,,10.75 CS
Total Inventory Qty,01614,FP07,22.00 CS,44.00 CS,54.00 CS,52.00 CS,51.00 CS,51.00 CS,29.00 CS,29.00 CS,29.00 CS,,,,361.00 CS
Total Inventory Qty,01614,FP13,269.00 CS,235.00 CS,193.00 CS,188.00 CS,179.00 CS,179.00 CS,178.00 CS,178.00 CS,,,,,"1,599.00 CS"
Total Inventory Qty,01615,FP03,1.25 CS,1.25 CS,1.25 CS,0.17 CS,0.17 CS,0.17 CS,0.75 CS,0.75 CS,0.75 CS,,,,6.50 CS
Total Inventory Qty,01615,FP07,11.00 CS,11.00 CS,21.00 CS,21.00 CS,21.00 CS,21.00 CS,,,,,,,106.00 CS
Total Inventory Qty,01615,FP13,125.00 CS,101.00 CS,36.00 CS,36.00 CS,36.00 CS,36.00 CS,34.00 CS,34.00 CS,,,,,438.00 CS
Total Inventory Qty,01616,FP03,1.25 CS,1.25 CS,1.25 CS,0.92 CS,0.92 CS,0.92 CS,4.00 CS,4.00 CS,4.00 CS,,,,18.50 CS
Total Inventory Qty,01616,FP07,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,8.00 CS,8.00 CS,8.00 CS,,,,84.00 CS
Total Inventory Qty,01616,FP13,522.00 CS,522.00 CS,516.00 CS,511.00 CS,511.00 CS,511.00 CS,504.00 CS,500.00 CS,500.00 CS,488.00 CS,487.00 CS,485.00 CS,"6,057.00 CS"
Total Inventory Qty,01617,FP03,0.33 CS,0.33 CS,0.33 CS,0.17 CS,0.17 CS,0.17 CS,,,,,,,1.50 CS
Total Inventory Qty,01619,FP03,0.75 CS,0.75 CS,0.75 CS,0.75 CS,0.75 CS,0.75 CS,,,,,,,4.50 CS
Total Inventory Qty,01619,FP07,44.00 CS,44.00 CS,44.00 CS,34.00 CS,20.00 CS,20.00 CS,,,,,,,206.00 CS
Total Inventory Qty,01619,FP13,324.00 CS,324.00 CS,,,,,,,,,,,648.00 CS
Total Inventory Qty,01623,FP03,"1,267.00 CS",40.88 CS,139.75 CS,855.00 CS,97.88 CS,33.38 CS,44.00 CS,1.50 CS,4.50 CS,4.38 CS,2.25 CS,5.25 CS,"2,495.75 CS"
Total Inventory Qty,01623,FP07,"22,769.00 CS","17,935.00 CS","20,043.00 CS","8,084.00 CS","18,268.00 CS","10,760.00 CS","10,179.00 CS","15,301.00 CS","13,386.00 CS","14,050.00 CS","17,534.00 CS","16,856.00 CS","1,85,165.00 CS"
Total Inventory Qty,01623,FP13,"62,562.00 CS","58,516.00 CS","56,434.00 CS","54,410.00 CS","81,689.00 CS","93,488.00 CS","66,307.00 CS","83,535.00 CS","43,163.00 CS","34,312.00 CS","79,435.00 CS","34,835.00 CS","7,48,686.00 CS"
Total Inventory Qty,01623,FP14,600.00 CS,,200.00 CS,200.00 CS,200.00 CS,,,,200.00 CS,,400.00 CS,,"1,800.00 CS"
Total Inventory Qty,01625,FP03,"1,486.88 CS",87.50 CS,78.88 CS,715.50 CS,32.50 CS,40.00 CS,24.88 CS,7.88 CS,6.88 CS,2.63 CS,2.63 CS,4.63 CS,"2,490.75 CS"
Total Inventory Qty,01625,FP07,"14,405.00 CS","11,025.00 CS","14,699.00 CS","8,501.00 CS","15,433.00 CS","8,731.00 CS","10,405.00 CS","9,988.00 CS","7,262.00 CS","10,163.00 CS","9,464.00 CS","4,979.00 CS","1,25,055.00 CS"
Total Inventory Qty,01625,FP13,"77,107.00 CS","46,923.00 CS","20,745.00 CS","60,940.00 CS","42,050.00 CS","40,569.00 CS","44,197.00 CS","81,833.00 CS","52,897.00 CS","45,010.00 CS","34,979.00 CS","79,939.00 CS","6,27,189.00 CS"
Total Inventory Qty,01625,FP14,400.00 CS,,,200.00 CS,200.00 CS,,,,,,,"1,400.00 CS","2,200.00 CS"
Total Inventory Qty,01626,FP03,"1,426.38 CS","1,426.13 CS",40.13 CS,39.13 CS,1.13 CS,5.13 CS,7.00 CS,7.00 CS,7.00 CS,5.50 CS,3.50 CS,3.38 CS,"2,971.38 CS"
Total Inventory Qty,01626,FP07,"6,884.00 CS","5,410.00 CS","5,367.00 CS","1,679.00 CS",301.00 CS,685.00 CS,465.00 CS,"1,149.00 CS",689.00 CS,686.00 CS,866.00 CS,862.00 CS,"25,043.00 CS"
Total Inventory Qty,01626,FP13,"4,000.00 CS","2,683.00 CS","1,283.00 CS",884.00 CS,10.00 CS,"3,834.00 CS","8,465.00 CS","7,770.00 CS","6,952.00 CS","6,777.00 CS","6,702.00 CS","6,795.00 CS","56,155.00 CS"
Total Inventory Qty,01627,FP03,0.75 CS,0.63 CS,3.00 CS,5.00 CS,5.00 CS,5.00 CS,3.88 CS,4.88 CS,4.88 CS,5.25 CS,5.25 CS,5.13 CS,48.63 CS
Total Inventory Qty,01627,FP07,"1,311.00 CS",755.00 CS,901.00 CS,"1,139.00 CS","1,851.00 CS","1,064.00 CS","1,297.00 CS","1,215.00 CS","1,193.00 CS","1,615.00 CS","1,867.00 CS","1,139.00 CS","15,347.00 CS"
Total Inventory Qty,01627,FP13,"7,245.00 CS","7,835.00 CS","5,060.00 CS",719.00 CS,"7,860.00 CS","5,628.00 CS","3,706.00 CS","10,661.00 CS","15,538.00 CS","12,907.00 CS","9,180.00 CS","7,267.00 CS","93,606.00 CS"
Total Inventory Qty,01628,FP03,0.50 CS,2.50 CS,12.75 CS,1.75 CS,9.75 CS,7.00 CS,8.00 CS,3.50 CS,3.50 CS,0.75 CS,0.50 CS,2.75 CS,53.25 CS
Total Inventory Qty,01628,FP07,"8,700.00 CS","8,611.00 CS","3,757.00 CS","4,040.00 CS","2,117.00 CS","2,481.00 CS","2,624.00 CS","2,443.00 CS","3,069.00 CS","3,370.00 CS","4,683.00 CS","2,660.00 CS","48,555.00 CS"
Total Inventory Qty,01628,FP13,"6,077.00 CS","26,650.00 CS","34,821.00 CS","18,042.00 CS","10,074.00 CS","30,372.00 CS","27,975.00 CS","24,749.00 CS","21,181.00 CS","14,623.00 CS","15,036.00 CS","20,306.00 CS","2,49,906.00 CS"
Total Inventory Qty,01629,FP03,0.38 CS,0.38 CS,0.38 CS,490.13 CS,273.13 CS,2.38 CS,3.00 CS,6.25 CS,6.25 CS,4.50 CS,9.13 CS,14.00 CS,809.88 CS
Total Inventory Qty,01629,FP07,"4,797.00 CS","3,701.00 CS","2,057.00 CS","5,800.00 CS","2,363.00 CS","1,204.00 CS","2,523.00 CS","1,162.00 CS","1,662.00 CS","1,302.00 CS","3,002.00 CS","1,420.00 CS","30,993.00 CS"
Total Inventory Qty,01629,FP13,"4,006.00 CS","8,260.00 CS","2,592.00 CS","8,308.00 CS","4,658.00 CS","1,148.00 CS","3,240.00 CS","7,338.00 CS","10,796.00 CS","8,130.00 CS","8,121.00 CS","3,106.00 CS","69,703.00 CS"
Total Inventory Qty,01630,FP03,3.63 CS,3.63 CS,3.63 CS,,,,,,,,,,10.88 CS
Total Inventory Qty,01630,FP07,"3,015.00 CS","2,491.00 CS","1,931.00 CS","1,931.00 CS","1,931.00 CS",458.00 CS,,,,,,,"11,757.00 CS"
Total Inventory Qty,01630,FP13,249.00 CS,254.00 CS,114.00 CS,,,,,,,,,,617.00 CS
Total Inventory Qty,01633,FP01,,,,,,,"2,600.00 CS",,,,400.00 CS,,"3,000.00 CS"
Total Inventory Qty,01633,FP03,12.42 CS,6.08 CS,3.33 CS,8.42 CS,3.00 CS,0.92 CS,12.92 CS,4.75 CS,2.17 CS,,,14.67 CS,68.67 CS
Total Inventory Qty,01633,FP07,"5,036.00 CS","3,220.00 CS","4,208.00 CS","2,915.00 CS","2,454.00 CS","5,247.00 CS","4,160.00 CS","5,424.00 CS","3,100.00 CS","4,034.00 CS","2,370.00 CS","9,265.00 CS","51,433.00 CS"
Total Inventory Qty,01633,FP13,"24,943.00 CS","16,816.00 CS","25,675.00 CS","20,219.00 CS","6,071.00 CS","32,135.00 CS","25,374.00 CS","21,673.00 CS","22,122.00 CS","15,590.00 CS","2,320.00 CS","5,908.00 CS","2,18,846.00 CS"
Total Inventory Qty,01634,FP13,193.00 CS,193.00 CS,,,,,,,,,,,386.00 CS
Total Inventory Qty,01638,FP07,49.00 CS,49.00 CS,49.00 CS,49.00 CS,49.00 CS,49.00 CS,,,,,,,294.00 CS
Total Inventory Qty,01642,FP03,,1.00 CS,0.75 CS,1.08 CS,0.08 CS,,2.00 CS,1.50 CS,1.42 CS,0.75 CS,0.58 CS,0.42 CS,9.58 CS
Total Inventory Qty,01642,FP07,"2,740.00 CS","4,886.00 CS","3,719.00 CS","2,501.00 CS","1,788.00 CS","3,485.00 CS","1,105.00 CS","2,207.00 CS","6,284.00 CS","5,965.00 CS","4,352.00 CS","3,423.00 CS","42,455.00 CS"
Total Inventory Qty,01642,FP13,394.00 CS,"1,186.00 CS",915.00 CS,"1,274.00 CS",254.00 CS,710.00 CS,"1,737.00 CS","1,467.00 CS","1,696.00 CS",856.00 CS,"1,571.00 CS","1,839.00 CS","13,899.00 CS"
Total Inventory Qty,01643,FP03,,,,1.00 CS,,1.83 CS,1.50 CS,1.50 CS,1.50 CS,,,4.67 CS,12.00 CS
Total Inventory Qty,01643,FP07,,400.00 CS,399.00 CS,279.00 CS,214.00 CS,104.00 CS,39.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,"1,440.00 CS"
Total Inventory Qty,01643,FP13,62.00 CS,205.00 CS,181.00 CS,177.00 CS,175.00 CS,168.00 CS,94.00 CS,1.00 CS,981.00 CS,937.00 CS,934.00 CS,562.00 CS,"4,477.00 CS"
Total Inventory Qty,01647,FP13,,,,,,,,,,,"1,386.00 CS","1,386.00 CS","2,772.00 CS"
Total Inventory Qty,01649,FP01,200.00 CS,,,,,,,,,,,,200.00 CS
Total Inventory Qty,01649,FP13,,332.00 CS,509.00 CS,509.00 CS,200.00 CS,"14,784.00 CS","3,784.00 CS","3,784.00 CS",,,258.00 CS,58.00 CS,"24,218.00 CS"
Total Inventory Qty,01650,FP07,"6,027.00 CS","4,179.00 CS","4,779.00 CS","3,195.00 CS","5,472.00 CS","6,720.00 CS","8,040.00 CS","1,040.00 CS","1,943.00 CS","1,919.00 CS","3,431.00 CS","2,087.00 CS","48,832.00 CS"
Total Inventory Qty,01650,FP13,"5,306.00 CS","10,928.00 CS","10,735.00 CS","6,319.00 CS","3,891.00 CS","7,402.00 CS","12,553.00 CS",359.00 CS,"4,988.00 CS","12,152.00 CS","10,417.00 CS","9,724.00 CS","94,774.00 CS"
Total Inventory Qty,01652,FP03,0.67 CS,0.67 CS,0.67 CS,1.67 CS,1.67 CS,1.67 CS,1.83 CS,1.83 CS,1.83 CS,,,,12.50 CS
Total Inventory Qty,01652,FP07,82.00 CS,38.00 CS,17.00 CS,72.00 CS,80.00 CS,,,160.00 CS,146.00 CS,19.00 CS,,360.00 CS,974.00 CS
Total Inventory Qty,01652,FP13,"1,052.00 CS",887.00 CS,612.00 CS,313.00 CS,153.00 CS,51.00 CS,,773.00 CS,276.00 CS,,,524.00 CS,"4,641.00 CS"
Total Inventory Qty,01652,FP14,,,,,,556.00 CS,,,,,,,556.00 CS
Total Inventory Qty,01653,FP13,263.00 CS,259.00 CS,237.00 CS,235.00 CS,232.00 CS,215.00 CS,213.00 CS,210.00 CS,191.00 CS,187.00 CS,180.00 CS,182.00 CS,"2,604.00 CS"
Total Inventory Qty,01654,FP07,46.00 CS,13.00 CS,58.00 CS,90.00 CS,150.00 CS,125.00 CS,144.00 CS,258.00 CS,251.00 CS,16.00 CS,184.00 CS,163.00 CS,"1,498.00 CS"
Total Inventory Qty,01654,FP13,"3,050.71 CS","4,408.37 CS","4,698.33 CS","4,483.95 CS","4,802.59 CS","3,553.91 CS","3,191.50 CS","3,033.50 CS","2,843.50 CS","2,590.50 CS","2,267.00 CS","1,938.00 CS","40,861.85 CS"
Total Inventory Qty,01655,FP13,,,,,,,,"1,229.00 CS","1,228.00 CS",728.00 CS,728.00 CS,727.00 CS,"4,640.00 CS"
Total Inventory Qty,01656,FP13,258.00 CS,258.00 CS,,,,,,,,,,,516.00 CS
Total Inventory Qty,01657,FP03,,,,,,,,,,,10.50 CS,,10.50 CS
Total Inventory Qty,01657,FP13,497.00 CS,496.00 CS,572.00 CS,570.00 CS,74.00 CS,74.00 CS,75.00 CS,1.00 CS,1.00 CS,,"2,266.00 CS","1,965.00 CS","6,591.00 CS"
Total Inventory Qty,01660,FP07,"3,213.00 CS","2,369.00 CS","2,483.00 CS","2,997.00 CS","2,224.00 CS","4,181.00 CS","3,628.00 CS",372.00 CS,,"2,352.00 CS","2,952.00 CS","3,048.00 CS","29,819.00 CS"
Total Inventory Qty,01660,FP13,"3,751.00 CS",966.00 CS,"7,512.00 CS","3,288.00 CS",145.00 CS,"3,943.00 CS","7,958.00 CS",120.00 CS,120.00 CS,"5,151.00 CS","5,380.00 CS","7,382.00 CS","45,716.00 CS"
Total Inventory Qty,01661,FP03,0.67 CS,0.48 CS,0.29 CS,1.83 CS,0.83 CS,2.67 CS,3.00 CS,3.33 CS,3.90 CS,1.67 CS,1.45 CS,2.45 CS,22.58 CS
Total Inventory Qty,01661,FP07,"1,583.00 CS","1,266.00 CS",910.00 CS,711.00 CS,496.00 CS,286.00 CS,606.00 CS,479.00 CS,467.00 CS,440.00 CS,422.00 CS,224.00 CS,"7,890.00 CS"
Total Inventory Qty,01661,FP13,"2,596.00 CS","2,410.00 CS","2,104.00 CS","1,656.00 CS","1,059.00 CS",309.00 CS,"1,051.00 CS",402.00 CS,"1,816.00 CS",968.00 CS,567.00 CS,208.00 CS,"15,146.00 CS"
Total Inventory Qty,01662,FP03,0.25 CS,0.25 CS,0.25 CS,,,,,,,,,,0.75 CS
Total Inventory Qty,01662,FP13,40.00 CS,14.00 CS,,,,,,,,,,,54.00 CS
Total Inventory Qty,01665,FP13,181.00 CS,24.00 CS,186.00 CS,55.00 CS,77.00 CS,37.00 CS,37.00 CS,195.00 CS,193.00 CS,193.00 CS,90.00 CS,32.00 CS,"1,300.00 CS"
Total Inventory Qty,01668,FP07,357.00 CS,355.00 CS,354.00 CS,"5,391.00 CS","3,986.00 CS","1,522.00 CS",613.00 CS,566.00 CS,564.00 CS,537.00 CS,534.00 CS,533.00 CS,"15,312.00 CS"
Total Inventory Qty,01668,FP13,,,,866.00 CS,,,,,,,,,866.00 CS
Total Inventory Qty,01668,FP14,,,,80.00 CS,,,,,,,,,80.00 CS
Total Inventory Qty,01669,FP07,,,,,"4,231.00 CS",858.00 CS,24.00 CS,24.00 CS,24.00 CS,23.00 CS,22.00 CS,22.00 CS,"5,228.00 CS"
Total Inventory Qty,01669,FP13,,,,,20.00 CS,,,,20.00 CS,20.00 CS,20.00 CS,19.00 CS,99.00 CS
Total Inventory Qty,01670,FP07,,,,"12,954.00 CS","5,115.00 CS",960.00 CS,18.00 CS,8.00 CS,8.00 CS,8.00 CS,8.00 CS,8.00 CS,"19,087.00 CS"
Total Inventory Qty,01670,FP13,,,,24.00 CS,456.00 CS,379.00 CS,,,,,,,859.00 CS
Total Inventory Qty,01670,FP14,,,,96.00 CS,,,,,,,,,96.00 CS
Total Inventory Qty,01671,FP07,32.00 CS,29.00 CS,28.00 CS,28.00 CS,28.00 CS,28.00 CS,28.00 CS,28.00 CS,28.00 CS,164.00 CS,28.00 CS,32.00 CS,481.00 CS
Total Inventory Qty,01671,FP13,,,,,,,,,,1.00 CS,,,1.00 CS
Total Inventory Qty,01672,FP03,1.67 CS,1.67 CS,1.67 CS,1.67 CS,1.67 CS,1.67 CS,,,,,,,10.00 CS
Total Inventory Qty,01672,FP07,"2,535.00 CS","2,535.00 CS","2,535.00 CS",617.00 CS,617.00 CS,,,,,,,,"8,839.00 CS"
Total Inventory Qty,01675,FP07,189.00 CS,226.00 CS,538.00 CS,288.00 CS,116.00 CS,112.00 CS,82.00 CS,150.00 CS,229.00 CS,114.00 CS,85.00 CS,82.00 CS,"2,211.00 CS"
Total Inventory Qty,01675,FP13,429.00 CS,463.00 CS,111.00 CS,"1,071.00 CS",948.00 CS,946.00 CS,278.00 CS,142.00 CS,60.00 CS,,120.00 CS,,"4,568.00 CS"
Total Inventory Qty,01676,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,6.00 CS
Total Inventory Qty,01676,FP07,"1,959.00 CS","1,959.00 CS","1,959.00 CS",89.00 CS,,,,,,,,,"5,966.00 CS"
Total Inventory Qty,01676,FP13,536.00 CS,144.00 CS,,,,,,,,,,,680.00 CS
Total Inventory Qty,01677,FP07,32.00 CS,731.00 CS,682.00 CS,444.00 CS,261.00 CS,236.00 CS,49.00 CS,2.00 CS,42.00 CS,15.00 CS,129.00 CS,101.00 CS,"2,724.00 CS"
Total Inventory Qty,01677,FP13,"1,036.00 CS",508.00 CS,887.00 CS,228.00 CS,330.00 CS,60.00 CS,29.00 CS,,,,244.00 CS,,"3,322.00 CS"
Total Inventory Qty,01680,FP07,372.00 CS,370.00 CS,369.00 CS,369.00 CS,369.00 CS,369.00 CS,369.00 CS,369.00 CS,369.00 CS,369.00 CS,,,"3,694.00 CS"
Total Inventory Qty,01683,FP07,,,,,"2,203.00 CS","1,049.00 CS",582.00 CS,37.00 CS,20.00 CS,20.00 CS,20.00 CS,22.00 CS,"3,953.00 CS"
Total Inventory Qty,01683,FP13,,,,,240.00 CS,707.00 CS,21.00 CS,18.00 CS,,,,,986.00 CS
Total Inventory Qty,01684,FP07,8.00 CS,8.00 CS,8.00 CS,8.00 CS,8.00 CS,8.00 CS,8.00 CS,,,,,,56.00 CS
Total Inventory Qty,01684,FP13,,,,,,,,6.00 CS,6.00 CS,6.00 CS,6.00 CS,6.00 CS,30.00 CS
Total Inventory Qty,01686,FP03,0.94 CS,,,,,,,,,,,,0.94 CS
Total Inventory Qty,01688,FP07,432.00 CS,432.00 CS,,,,,,,,,,,864.00 CS
Total Inventory Qty,01690,FP03,1.42 CS,1.42 CS,1.42 CS,1.00 CS,,,,,,,,,5.25 CS
Total Inventory Qty,01693,FM02,,,,,,,,"1,008.00 CS",,,,,"1,008.00 CS"
Total Inventory Qty,01693,FP07,"9,669.00 CS","8,912.00 CS","23,073.00 CS","22,353.00 CS","21,345.00 CS","15,729.00 CS","13,569.00 CS","27,344.00 CS","40,691.00 CS","29,572.00 CS","22,660.00 CS","17,908.00 CS","2,52,825.00 CS"
Total Inventory Qty,01693,FP13,864.00 CS,864.00 CS,864.00 CS,864.00 CS,864.00 CS,864.00 CS,864.00 CS,862.00 CS,861.00 CS,860.00 CS,860.00 CS,"1,148.00 CS","10,639.00 CS"
Total Inventory Qty,01696,FP07,141.00 CS,141.00 CS,141.00 CS,141.00 CS,,,,,,,,,564.00 CS
Total Inventory Qty,01697,FP07,616.00 CS,616.00 CS,,,,,,,,,,,"1,232.00 CS"
Total Inventory Qty,01700,FM02,,,189.00 CS,,,,,324.00 CS,,,,,513.00 CS
Total Inventory Qty,01700,FP03,1.00 CS,1.00 CS,1.00 CS,1.88 CS,1.88 CS,1.88 CS,,,,,,,8.63 CS
Total Inventory Qty,01700,FP07,"8,848.00 CS","6,290.00 CS","2,438.00 CS","8,744.00 CS","3,389.00 CS","7,186.00 CS","1,610.00 CS","7,272.00 CS","4,936.00 CS","6,471.00 CS","4,617.00 CS","1,242.00 CS","63,043.00 CS"
Total Inventory Qty,01700,FP13,"4,014.00 CS","2,582.00 CS","1,376.00 CS","1,188.00 CS","3,231.00 CS",459.00 CS,"4,056.00 CS","4,333.00 CS","6,106.00 CS","5,845.00 CS","5,431.00 CS","6,629.00 CS","45,250.00 CS"
Total Inventory Qty,01701,FP07,615.00 CS,615.00 CS,615.00 CS,615.00 CS,,,,,,,,,"2,460.00 CS"
Total Inventory Qty,01702,FP07,,,,"1,125.00 CS",993.00 CS,786.00 CS,630.00 CS,19.00 CS,19.00 CS,19.00 CS,19.00 CS,26.00 CS,"3,636.00 CS"
Total Inventory Qty,01702,FP13,,,,174.00 CS,,,,,,,,,174.00 CS
Total Inventory Qty,01703,FP07,2.00 CS,2.00 CS,2.00 CS,"4,608.00 CS","3,500.00 CS",739.00 CS,711.00 CS,715.00 CS,718.00 CS,,,6.00 CS,"11,003.00 CS"
Total Inventory Qty,01706,FP03,0.92 CS,0.92 CS,0.92 CS,4.00 CS,4.00 CS,4.00 CS,,,,,,,14.75 CS
Total Inventory Qty,01706,FP07,"5,857.00 CS","5,857.00 CS","5,857.00 CS","5,847.00 CS","10,299.00 CS","5,090.00 CS",714.00 CS,"1,331.00 CS",487.00 CS,483.00 CS,203.00 CS,176.00 CS,"42,201.00 CS"
Total Inventory Qty,01706,FP13,95.00 CS,95.00 CS,94.00 CS,93.00 CS,93.00 CS,93.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,351.00 CS,351.00 CS,"1,589.00 CS"
Total Inventory Qty,01707,FP07,,,,,,"1,547.00 CS","1,173.00 CS",257.00 CS,219.00 CS,216.00 CS,206.00 CS,180.00 CS,"3,798.00 CS"
