,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,00625,FP07,178.00 CS,266.00 CS,188.00 CS,384.00 CS,263.00 CS,425.00 CS,356.00 CS,153.00 CS,266.00 CS,226.00 CS,178.00 CS,231.00 CS,"3,114.00 CS"
Total Inventory Qty,00625,FP13,48.00 CS,80.00 CS,32.00 CS,38.00 CS,40.00 CS,80.00 CS,17.00 CS,67.00 CS,76.00 CS,59.00 CS,30.00 CS,108.00 CS,675.00 CS
Total Inventory Qty,00640,FP13,5.00 CS,"1,610.00 CS","1,150.00 CS",1.00 CS,1.00 CS,693.00 CS,252.00 CS,302.00 CS,302.00 CS,302.00 CS,302.00 CS,302.00 CS,"5,222.00 CS"
Total Inventory Qty,00641,FP13,,,786.00 CS,836.00 CS,836.00 CS,836.00 CS,836.00 CS,836.00 CS,836.00 CS,835.00 CS,835.00 CS,835.00 CS,"8,307.00 CS"
Total Inventory Qty,00642,FP13,,,556.00 CS,6.00 CS,13.00 CS,13.00 CS,241.00 CS,259.00 CS,259.00 CS,259.00 CS,259.00 CS,259.00 CS,"2,124.00 CS"
Total Inventory Qty,00643,FP01,,472.00 CS,,,,,,,,,,,472.00 CS
Total Inventory Qty,00643,FP13,,250.00 CS,"1,731.00 CS",81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,81.00 CS,"2,710.00 CS"
Total Inventory Qty,00651,FP05,,,50.00 CS,,,,,,50.00 CS,,,,100.00 CS
Total Inventory Qty,00651,FP07,98.00 CS,85.00 CS,60.00 CS,89.00 CS,27.00 CS,27.00 CS,6.00 CS,40.00 CS,40.00 CS,80.00 CS,69.00 CS,69.00 CS,690.00 CS
Total Inventory Qty,00651,FP13,"4,627.00 CS","3,219.00 CS","4,226.00 CS","2,799.00 CS","1,362.00 CS","1,650.00 CS",220.00 CS,"1,606.00 CS","5,331.00 CS","2,760.00 CS",236.00 CS,50.00 CS,"28,086.00 CS"
Total Inventory Qty,00654,FP07,7.00 CS,7.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,,,,,,24.00 CS
Total Inventory Qty,00659,FP03,,,,,,,,,,,0.83 CS,0.83 CS,1.67 CS
Total Inventory Qty,00659,FP07,81.00 CS,81.00 CS,81.00 CS,,,50.00 CS,46.00 CS,46.00 CS,46.00 CS,46.00 CS,46.00 CS,46.00 CS,569.00 CS
Total Inventory Qty,00659,FP13,120.00 CS,120.00 CS,119.00 CS,119.00 CS,119.00 CS,69.00 CS,41.00 CS,575.00 CS,575.00 CS,575.00 CS,573.00 CS,573.00 CS,"3,578.00 CS"
Total Inventory Qty,00704,FP03,,,,,0.83 CS,0.83 CS,0.67 CS,0.67 CS,1.67 CS,0.77 CS,0.77 CS,0.77 CS,6.97 CS
Total Inventory Qty,00704,FP07,"3,980.00 CS","3,800.00 CS","3,600.00 CS","2,588.00 CS",,511.00 CS,"2,325.00 CS","1,412.00 CS","4,332.00 CS","4,864.00 CS","1,005.00 CS",751.00 CS,"29,168.00 CS"
Total Inventory Qty,00704,FP13,"3,481.00 CS","4,090.00 CS","3,184.00 CS",758.00 CS,"1,539.00 CS","2,331.00 CS","2,195.00 CS","2,555.00 CS","1,888.00 CS","3,637.00 CS","2,576.00 CS","2,682.00 CS","30,916.00 CS"
Total Inventory Qty,00704,FP14,,,,"1,486.10 CS",364.00 CS,190.00 CS,200.00 CS,,200.00 CS,,285.00 CS,,"2,725.10 CS"
Total Inventory Qty,00709,FP03,,,,0.83 CS,4.83 CS,4.83 CS,3.00 CS,3.00 CS,4.00 CS,1.93 CS,0.93 CS,,23.37 CS
Total Inventory Qty,00709,FP07,"3,506.67 CS","4,180.46 CS","8,139.46 CS","8,968.46 CS","5,642.46 CS","5,546.46 CS","3,691.00 CS","3,511.00 CS","5,232.00 CS","6,511.00 CS","2,067.00 CS",,"56,995.94 CS"
Total Inventory Qty,00709,FP13,"4,980.00 CS","1,427.00 CS","7,834.00 CS","2,724.00 CS","10,542.00 CS","14,200.00 CS","12,241.00 CS","13,858.00 CS","12,409.00 CS","9,251.00 CS","5,403.00 CS",287.00 CS,"95,156.00 CS"
Total Inventory Qty,00709,FP14,950.00 CS,,450.00 CS,,"1,000.00 CS",,,,,,600.00 CS,"2,313.00 CS","5,313.00 CS"
Total Inventory Qty,00710,FM01,820.00 CS,,560.00 CS,14.00 CS,,,360.00 CS,156.00 CS,,,600.00 CS,680.00 CS,"3,190.00 CS"
Total Inventory Qty,00710,FP03,,,,0.82 CS,1.74 CS,1.74 CS,2.00 CS,0.85 CS,0.85 CS,3.15 CS,3.15 CS,4.15 CS,18.45 CS
Total Inventory Qty,00710,FP07,664.71 CS,473.71 CS,"1,034.71 CS","1,584.71 CS","1,429.71 CS",805.71 CS,969.00 CS,587.00 CS,501.00 CS,514.00 CS,695.00 CS,690.00 CS,"9,949.28 CS"
Total Inventory Qty,00710,FP13,"40,163.72 CS","52,769.72 CS","58,719.72 CS","57,543.72 CS","40,190.05 CS","29,086.48 CS","37,409.35 CS","38,091.72 CS","34,411.72 CS","36,814.72 CS","29,976.72 CS","29,942.23 CS","4,85,119.87 CS"
Total Inventory Qty,00710,FP14,20.70 CS,660.00 CS,"1,400.00 CS","1,049.00 CS",520.01 CS,"1,764.00 CS",240.00 CS,"1,600.00 CS",978.00 CS,812.00 CS,"1,603.00 CS",,"10,646.71 CS"
Total Inventory Qty,00795,FP03,,,,,,,,,,,0.83 CS,0.83 CS,1.67 CS
Total Inventory Qty,00795,FP07,21.00 CS,20.00 CS,20.00 CS,20.00 CS,20.00 CS,40.00 CS,32.00 CS,26.00 CS,26.00 CS,26.00 CS,26.00 CS,26.00 CS,303.00 CS
Total Inventory Qty,00795,FP13,,,,,"3,487.00 CS","1,187.00 CS","1,014.00 CS","1,014.00 CS","1,014.00 CS","1,013.00 CS","1,012.00 CS","1,012.00 CS","10,753.00 CS"
Total Inventory Qty,00795,FP14,,,,,,50.00 CS,50.00 CS,,,,,,100.00 CS
Total Inventory Qty,00797,FP03,,,,,,,,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,5.00 CS
Total Inventory Qty,00797,FP07,,,,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,4.00 CS
